,population,city,country,latitude,longitude
993,448776,Mauá,Brazil,-23.646553,-46.437578
994,448624,Edinburgh,United Kingdom,55.953252,-3.188267
995,448479,Virginia Beach,USA,36.7793,-76.024
996,448280,Bamenda,Cameroon,5.96,10.16
997,448028,Constantine,Algeria,36.35,6.6
998,447841,Atlanta,USA,33.7629,-84.4227
999,446757,Macapá,Brazil,0.070467,-51.135932
1000,445939,Rayong,Thailand,12.707434,101.147352
1001,444681,Kitchener,Canada,43.45,-80.483333
1002,444543,Tiruppur,India,11.108524,77.341066
1003,444325,Zanzibar,Tanzania,-6.14,39.23
1004,443273,San Nicolás de los Garza,Mexico,25.749347,-100.286897
1005,441802,Toulouse,France,43.604652,1.444209
1006,441407,Sochi,Russia,43.585278,39.720278
1007,441351,Tabuk,Saudi-Arabia,28.383333,36.583333
1008,439886,Colorado Springs,USA,38.8673,-104.7607
1009,439866,Sheffield,United Kingdom,53.381129,-1.470085
1010,438577,Bello,Colombia,6.335499,-75.560179
1011,438354,São José do Rio Preto,Brazil,-20.829998,-49.396133
1012,437456,Kaliningrad (Kaliningradskaya oblast),Russia,54.716667,20.516667
1013,437012,Jambi,Indonesia,-1.59,103.61
1014,436300,Herat,Afghanistan,34.341944,62.203056
1015,435751,Bandar-e-Abbas,Iran,27.175479,56.258232
1016,435128,Davanagere,India,14.466344,75.92384
1017,434353,Omaha,USA,41.2647,-96.0419
1018,433565,Santos,Brazil,-23.981846,-46.30982
1019,433242,Valledupar,Colombia,10.451096,-73.261411
1020,432097,Kozhikode,India,11.258753,75.78041
1021,431998,Maseru,Lesotho,-29.31,27.48
1022,431746,Raleigh,USA,35.8302,-78.6414
1023,431471,Santiago de Cuba,Cuba,20.01693,-75.830154
1024,431061,Bratislava,Slovakia,48.145892,17.107137
1025,430987,Bryansk,Russia,53.263531,34.41611
1026,430198,Uijeongbu,Republic of Korea,37.738424,127.045998
1027,430025,Sukkur,Pakistan,27.706604,68.848197
1028,429632,Tanta,Egypt,30.786509,31.000376
1029,428940,Kalasin,Thailand,16.434167,103.509167
1030,428890,Pasto,Colombia,1.231824,-77.293192
1031,428579,Montería,Colombia,8.886111,-75.681622
1032,428323,Veracruz,Mexico,19.200512,-96.138038
1033,428075,Pyeongtaek,Republic of Korea,36.99047,127.085624
1034,427367,Iquitos,Peru,-3.743673,-73.251633
1035,427146,Akola,India,20.7,77
1036,425950,Kursk,Russia,51.709196,36.156224
1037,425038,Matadi,Democratic Republic of the Congo,-5.84,13.46
1038,424920,Kurnool,India,15.828126,78.037279
1039,424755,Xalapa,Mexico,19.173773,-96.134224
1040,424662,Matola,Mozambique,-25.966667,32.466667
1041,424619,Iloilo City,Philippines,10.72015,122.562106
1042,424150,Marikina,Philippines,14.65073,121.102855
1043,424124,Piura,Peru,-5.2,-80.633333
1044,423853,Jeju,Republic of Korea,33.499621,126.531188
1045,421397,Yokosuka,Japan,35.284119,139.655899
1046,421116,Toyama,Japan,36.701226,137.21319
1047,420850,Newcastle-Maitland,Australia,-32.733664,151.557668
1048,420556,Bristol,United Kingdom,51.454513,-2.58791
1049,420286,Toyota,Japan,35.07514,137.157918
1050,419839,Mogi das Cruzes,Brazil,-23.521783,-46.193323
1051,418557,Takamatsu,Japan,34.218664,134.01882
1052,418495,Tirana,Albania,41.327546,19.818698
1053,417650,Miami,USA,25.7752,-80.2086
1054,416464,Cilegon,Indonesia,-5.995739,106.03301
1055,414977,Nassiriya,Iraq,31.05,46.266667
1056,413934,Bokaro Steel City,India,23.669296,86.151112
1057,413893,Gumi,Republic of Korea,36.119485,128.344573
1058,413850,Ulan-Ude,Russia,51.823879,107.607338
1059,413786,Machida,Japan,35.551392,139.443463
1060,413616,Rajahmundry,India,17.000538,81.804034
1061,413294,Szczecin,Poland,53.428544,14.552812
1062,413006,Cuzco,Peru,-13.53195,-71.967463
1063,412779,Gifu,Japan,35.409514,136.756521
1064,412252,Kahramanmaraş,Turkey,37.583333,36.933333
1065,412049,Canberra-Queanbeyan,Australia,-35.354918,149.231251
1066,412003,Betim,Brazil,-19.966123,-44.193736
1067,412000,Bauchi,Nigeria,"10,306","9,824"
1068,411954,Ubon Ratchathani,Thailand,15.228686,104.856422
1069,411800,Tel Aviv-Yafo,Israel,32.0853,34.781768
1070,410984,Surat Thani,Thailand,9.138239,99.321748
1071,410733,Magnitogorsk,Russia,53.412943,59.001623
1072,409644,Ballari,India,15.139393,76.921443
1073,409613,Diadema,Brazil,-23.681276,-46.626577
1074,408952,Ivanovo,Russia,57.005067,40.976645
1075,408759,Tonalá,Mexico,20.659538,-103.349438
1076,408560,Stavropol,Russia,45.05,41.983333
1077,407896,Tver,Russia,56.858721,35.917596
1078,406898,Port Sudanan,Sudan,19.62,37.23
1079,406253,Oakland,USA,37.7699,-122.2256
1080,406201,Hirakata,Japan,34.81748,135.6474
1081,405715,Manado,Indonesia,1.491701,124.842843
1082,405385,Pietermaritzburg,South Africa,-29.600607,30.379412
1083,405337,Brno,Czech Republic,49.19506,16.606837
1084,402912,Campina Grande,Brazil,-6.760711,-38.229127
1085,402843,Mataram,Indonesia,-8.587259,116.136131
1086,402646,Rajshahi,Bangladesh,24.3715513,88.5921038
1087,402628,Fujisawa,Japan,35.341239,139.484722
1088,402275,Zurich,Switzerland,47.36865,8.539183
1089,401705,Malatya,Turkey,38.35,38.3
1090,400891,Siheung,Republic of Korea,37.379888,126.803103
1091,400070,Minneapolis,USA,44.9633,-93.2683
1092,400000,Juba,Sudan,4.85,31.62
1093,399688,Agartala,India,23.831457,91.286778
1094,398138,Bhagalpur,India,25.25,87
1095,398121,Tulsa,USA,36.1279,-95.9023
1096,397965,Jundiaí,Brazil,-23.188971,-46.885808
1097,397368,Beira,Mozambique,-19.833333,34.85
1098,396795,Kashgar,China,39.4722799,75.9849761
1099,396193,Tallinn,Estonia,59.436961,24.753575
1100,395227,Zarqa,Jordan,31.751512,36.868079
1101,394961,Asyut,Egypt,27.178312,31.185926
1102,393167,Manizales,Colombia,5.055721,-75.486043
1103,392869,Pasay,Philippines,14.537752,121.001379
1104,391698,Maringá,Brazil,-23.41349,-51.926339
1105,391297,Namangan,Uzbekistan,41.001111,71.668333
1106,390700,Makeyevka,Ukraine,48.044867,37.964
1107,390329,Villa Nueva,Guatemala,14.526944,-90.5875
1108,390212,Montes Claros,Brazil,-16.719879,-43.880173
1109,390113,Cleveland,USA,41.4781,-81.6795
1110,390073,Carapicuíba,Brazil,-23.526499,-46.830415
1111,389377,Calamba,Philippines,14.187671,121.125082
1112,389102,Islam Shahr (Qasemabad),Iran,35.544581,51.230246
1113,389036,Kashiwa,Japan,35.860416,139.973476
1114,388821,Olinda,Brazil,-8.016266,-34.85329
1115,388627,Yogyakarta,Indonesia,-7.797068,110.370527
1116,388412,Piracicaba,Brazil,-22.721267,-47.649851
1117,387269,Toyonaka,Japan,34.787562,135.461342
1118,386851,Zanjan,Iran,36.666667,48.483333
1119,386552,Wichita,USA,37.6907,-97.3427
1120,386435,Beni,Democratic Republic of the Congo,0.51,29.46
1121,384914,Antofagasta,Chile,-23.65,-70.4
1122,384504,Buenaventura,Colombia,3.819963,-76.992164
1123,382816,Paju,Republic of Korea,37.815223,126.792842
1124,382754,Latur,India,18.4,76.56
1125,382299,SAN JUAN,Puerto Rico,18.466334,-66.105722
1126,381598,Qazvin,Iran,36.266667,50
1127,381583,Mazatlán,Mexico,25.825701,-108.214302
1128,381474,Sevastopol,Ukraine,44.61665,33.525367
1129,132326,Kara,Togo,"9,551","1,186"
1130,380953,Ciudad Bolívar,Venezuela,8.268607,-62.753148
1131,380941,Irapuato,Mexico,20.678665,-101.354496
1132,379638,Vereeniging,South Africa,-26.673611,27.931944
1133,379577,Arlington,USA,32.7007,-97.1247
1134,379149,Larkana,Pakistan,27.563994,68.215131
1135,378915,Cariacica,Brazil,-20.33475,-40.422674
1136,378715,New Orleans,USA,30.0686,-89.939
1137,378422,Buraida,Saudi-Arabia,26.297724,43.976601
1138,378204,Nagano,Japan,36.658992,138.187705
1139,377888,Murcia,Spain,37.99224,-1.130654
1140,377045,Toyohashi,Japan,34.762811,137.381651
1141,376833,Takoradi,Ghana,"4,902","-1,759"
1142,376093,Dhule,India,20.90422,74.774898
1143,376000,Calabar,Nigeria,"4,991","8,340"
1144,375999,Buri Ram,Thailand,14.993002,103.102919
1145,375939,Ichinomiya,Japan,35.287784,136.808252
1146,375566,Klang,Malaysia,3.044917,101.445562
1147,374706,Cumaná,Venezuela,10.456389,-64.1675
1148,374011,Sheikhupura,Pakistan,31.716662,73.985024
1149,373987,Sanandaj,Iran,35.244426,47.008453
1150,373725,Nuevo Laredo,Mexico,25.842772,-97.495419
1151,372695,Chamis Muschait,Saudi-Arabia,18.300267,42.730218
1152,372463,Lampang,Thailand,18.28884,99.490874
1153,372175,Wakayama,Japan,34.232128,135.191134
1154,371380,Okazaki,Japan,34.941958,137.163974
1155,371217,Bologna,Italy,44.494887,11.342616
1156,369860,Vinnutsya,Ukraine,49.233083,28.468217
1157,369815,Belgorod,Russia,50.599713,36.598262
1158,369473,Miyazaki,Japan,31.915567,131.432034
1159,369151,Bydgoszcz,Poland,53.12348,18.008438
1160,368100,Mazar-i-Sharif,Afghanistan,36.7,67.116667
1161,367539,Maroua,Cameroon,10.59,14.32
1162,367419,Van,Turkey,38.494167,43.38
1163,367393,Nara,Japan,34.681215,135.819577
1164,367250,Erzurum,Turkey,39.908611,41.276944
1165,367000,Mohammedia,Morocco,33.683509,-7.384855
1166,366343,Benoni,South Africa,-26.188333,28.320556
1167,366341,Nampo,Democratic People's Republic of Korea,38.733333,125.4
1168,366191,London,Canada,42.98695,-81.243177
1169,366100,Christchurch,New Zealand,-43.532054,172.636225
1170,365736,Phra Nakhon Si Ayutthaya,Thailand,14.353213,100.56896
1171,365113,Roi Et,Thailand,16.05382,103.652004
1172,365101,Mogilev,Belarus,53.900716,30.33136
1173,364599,Chimbote,Peru,-9.063336,-78.589011
1174,364562,Bauru,Brazil,-22.33436,-49.05382
1175,363928,Rio Branco,Brazil,-9.981116,-67.845577
1176,363630,Bakersfield,USA,35.3212,-119.0183
1177,363210,Korba,India,22.35945,82.75006
1178,363127,Wonsan,Democratic People's Republic of Korea,39.1475,127.446111
1179,362185,Nizhny Tagil,Russia,57.921491,59.981619
1180,361991,Anápolis,Brazil,-16.318916,-48.945853
1181,361734,Bochum,Germany,51.482321,7.2187465
1182,361454,Nha Trang,Vietnam,12.238791,109.196749
1183,361366,Beirut,Lebanon,33.888629,35.495479
1184,361339,Samarkand,Uzbekistan,39.627012,66.974973
1185,361274,Kaunas,Lithuania,54.898521,23.903597
1186,361019,al-Obeid,Sudan,13.18,30.22
1187,360707,Vitebsk,Belarus,55.184806,30.201622
1188,360009,Bhilwara,India,25.321377,74.586953
1189,359341,Sinuiju,Democratic People's Republic of Korea,40.1,124.4
1190,358462,Palma de Mallorca,Spain,39.569601,2.65016
1191,358159,Phuket,Thailand,7.951933,98.338088
1192,358000,Igbidu,Nigeria,"6,047","8,082"
1193,357279,Huancayo,Peru,-12.068636,-75.210298
1194,357264,Arkhangelsk,Russia,64.547251,40.560155
1195,357000,Okenne,Nigeria,"7,568","6,248"
1196,356840,Chitungwiza,Zimbabwe,-18,31.05
1197,356771,Simferopol,Ukraine,44.952117,34.102417
1198,356352,Xico,Mexico,19.432608,-99.133208
1199,356118,Florence,Italy,43.76956,11.255814
1200,355953,Lublin,Poland,51.246454,22.568446
1201,355823,Brahmapur,India,19.314962,84.794091
1202,355618,Gwangmyeong,Republic of Korea,37.479413,126.854385
1203,355413,Barinas,Venezuela,8.768516,-70.421806
1204,354600,Suita,Japan,34.763177,135.52367
1205,354228,Takatsuki,Japan,34.851716,135.61768
1206,353950,Bilbao,Spain,43.263013,-2.934985
1207,353577,Villahermosa,Mexico,17.991508,-92.934441
1208,353337,Malabon,Philippines,14.6625,120.956667
1209,353040,São Vicente,Brazil,-23.96964,-46.37351
1210,352957,Tampa,USA,27.9701,-82.4797
1211,352907,Kikwit,Democratic Republic of the Congo,-5.04,18.81
1212,352565,Kuantan,Malaysia,3.816667,103.333333
1213,352444,General Escobedo,Mexico,25.592172,-99.996195
1214,352362,Likasi,Democratic Republic of the Congo,-10.99,26.74
1215,352204,Chitungwiza,Zimbabwe,-18,31.05
1216,352104,Vitória,Brazil,-20.275176,-40.303909
1217,351838,Muzaffarpur,India,26.120888,85.36472
1218,350905,Ahmednagar,India,19.095208,74.749592
1219,350511,Asahikawa,Japan,43.763781,142.358084
1220,350504,BLOEMFONTEIN,South Africa,-29.116667,26.216667
1221,350467,Lapu-Lapu,Philippines,10.266182,123.997295
1222,350000,Ogbomosho,Nigeria,"8,141","4,237"
1223,349947,Iwaki,Japan,37.058182,140.892126
1224,349543,Grodno,Belarus,53.672481,23.826693
1225,349526,Caucaia,Brazil,-3.70378,-38.701053
1226,349525,Vladimir,Russia,56.144596,40.417869
1227,349175,Santo Domingo West - Santo Domingo Oeste,Dominican Republic,18.526127,-69.883565
1228,349033,Kollam,India,8.893212,76.61414
1229,349000,Al-Sweida,Syria,32.593134,36.531071
1230,348920,Thessaloniki,Greece,40.640063,22.944419
1231,348739,Itaquaquecetuba,Brazil,-23.487306,-46.349325
1232,348216,Khoramabad,Iran,33.478498,48.362546
1233,348049,Mbeya,Tanzania,-8.92,33.48
1234,347884,Honolulu,USA,21.3259,-157.8453
1235,347809,Jhang,Pakistan,31.302853,72.328153
1236,347486,Taraz,Kazakhstan,42.898372,71.397989
1237,346922,Kovrov,Russia,56.366667,41.333333
1238,346854,Raghunathganj,India,24.466667,88.066667
1239,346788,San Miguelito,Panama,9.033,-79.5
1240,345876,Tanchon,Democratic People's Republic of Korea,40.458,128.911
1241,345821,Kisangani,Democratic Republic of the Congo,0.52,25.19
1242,345803,Aurora,USA,39.7082,-104.8235
1243,345012,Anaheim,USA,33.8555,-117.7601
1244,344803,Kathlehong,South Africa,-26.365126,28.15262
1245,344766,Kaluga,Russia,54.551858,36.285097
1246,344426,Kempton Park,South Africa,-26.1,28.233333
1247,343488,Wuppertal,Germany,51.264018,7.1780374
1248,343304,Nice,France,43.710173,7.261953
1249,342944,Kōchi,Japan,33.567239,133.543669
1250,342703,Annaba,Algeria,36.9,7.766667
1251,342328,Caruaru,Brazil,-8.281834,-36.015167
1252,342053,Pelotas,Brazil,-31.733491,-52.344492
1253,342000,Gombe,Nigeria,"10,286","11,157"
1254,341838,Takasaki,Japan,36.321626,139.003305
1255,340387,Celaya,Mexico,20.52164,-100.813602
1256,340199,Vitória da Conquista,Brazil,-14.849859,-40.853521
1257,340000,Buôn Ma Thuột,Vietnam,12.666194,108.038248
1258,339979,Canoas,Brazil,-29.853856,-51.125786
1259,339822,Huế,Vietnam,16.4498,107.56235
1260,339736,Nakhon Pathom,Thailand,13.819921,100.062168
1261,339715,Umlazi,South Africa,-29.966667,30.883333
1262,339461,Franca,Brazil,-23.544857,-46.635252
1263,339395,Kōriyama,Japan,37.400422,140.359555
1264,338650,Cuernavaca,Mexico,18.858841,-99.222601
1265,338560,Tokorozawa,Japan,35.786201,139.473916
1266,338429,Ismailia,Egypt,30.596492,32.271459
1267,338366,Andizhan,Uzbekistan,40.815356,72.28375
1268,338153,Plovdiv,Bulgaria,42.135408,24.74529
1269,337848,Neiva,Colombia,2.926112,-75.28906
1270,337000,Ado Ekiti,Nigeria,"7,623","5,226"
1271,336310,Jinju,Republic of Korea,35.179982,128.107621
1272,336262,Amara,Iraq,31.833333,47.15
1273,336239,Kupang,Indonesia,-10.152205,123.634176
1274,336222,Carrefour,Haiti,18.534444,-72.409444
1275,336000,Abakaliki,Nigeria,"6,315","8,125"
1276,335693,Kawagoe,Japan,35.931122,139.500608
1277,334870,Varna,Bulgaria,43.21405,27.914733
1278,334535,Ponta Grossa,Brazil,-25.095258,-50.161943
1279,334329,Alicante,Spain,38.345996,-0.490686
1280,334227,Santa Ana,USA,33.7365,-117.8826
1281,334002,Blumenau,Brazil,-26.922311,-49.063493
1282,333311,Diwaniya,Iraq,31.989167,44.924722
1283,332863,Tepic,Mexico,21.49089,-104.8747
1284,332767,Kherson,Ukraine,46.635417,32.616867
1285,332177,Western Conurbation,Kenya,0.38,34.75
1286,332000,Katsina,Nigeria,"12,979","7,622"
1287,331888,Cuenca,Ecuador,-2.900128,-79.005896
1288,331779,Blida,Algeria,36.479868,2.800568
1289,331674,Kut,Iraq,32.505556,45.824722
1290,331479,Elazığ,Turkey,38.680969,39.226398
1291,331320,Mandaue,Philippines,10.333333,123.933333
1292,331254,Ambon,Indonesia,-3.705,128.17
1293,331000,Minna,Nigeria,"9,622","6,545"
1294,330574,Leicester,United Kingdom,52.636878,-1.139759
1295,330451,Smolensk,Russia,54.790311,32.050366
1296,330106,Bilaspur,India,22.079625,82.139141
1297,330000,Thái Nguyên,Vietnam,21.561377,105.876004
1298,329868,Chita,Russia,52.05,113.466667
1299,329536,Gorgan,Iran,36.840521,54.446216
1300,329287,Akita,Japan,39.716845,140.129743
1301,329024,Ōtsu,Japan,35.002972,135.864896
1302,328864,Bielefeld,Germany,52.0230275,8.5326973
1303,328699,Mandaluyong,Philippines,14.579444,121.035917
1304,328555,Tieling,China,42.2895507,123.8394469
1305,328100,Pavlodar,Kazakhstan,52.287303,76.967402
1306,328000,Al Ain,United Arab Emirates,24.130162,55.802312
1307,328000,Gboko,Nigeria,"7,331","8,999"
1308,327917,Fayyum,Egypt,29.308402,30.84285
1309,327460,Volzhsky,Russia,48.805556,44.741667
1310,327448,Vladikavkaz (Osetinskaya ASSR),Russia,43.016667,44.65
1311,326729,Kurgan,Russia,55.466667,65.35
1312,326473,Saransk,Russia,54.183333,45.183333
1313,326336,Angeles,Philippines,15.144985,120.588703
1314,326017,Petrolina,Brazil,-9.366545,-40.565944
1315,325548,Bafoussam,Cameroon,5.48,10.41
1316,325020,Batman,Turkey,37.881168,41.13509
1317,323674,Brest,Belarus,52.097621,23.73405
1318,322821,Iligan,Philippines,8.228021,124.245242
1319,322271,Ixtapaluca,Mexico,19.432608,-99.133208
1320,322030,Ganja,Azerbaijan,40.682778,46.360556
1321,322000,Lokoja,Nigeria,"7,798","6,709"
1322,322000,Oyo,Nigeria,"7,837","3,926"
1323,321957,Sumgayit,Azerbaijan,40.585477,49.631741
1324,321885,Shahjahanpur,India,27.883744,79.912245
1325,321616,Katowice,Poland,50.264892,19.023782
1326,321146,Wonju,Republic of Korea,37.342219,127.920162
1327,321062,Surgut,Russia,61.25,73.433333
1328,320475,Bari,Italy,41.117143,16.871871
1329,320183,Long Xuyên,Vietnam,10.375942,105.418541
1330,319769,Paulista,Brazil,-7.962921,-34.865427
1331,319554,Kaechon,Democratic People's Republic of Korea,39.698611,125.906111
1332,319310,Ribeirão das Neves,Brazil,-19.796902,-44.014942
1333,318813,Uberaba,Brazil,-19.752416,-47.939036
1334,318676,Baguio,Philippines,16.402333,120.596007
1335,318642,Orel,Russia,52.966847,36.06249
1336,318592,Koshigaya,Japan,35.889607,139.789538
1337,318576,Valladolid,Spain,41.652251,-4.724532
1338,318488,Sivas,Turkey,39.747662,37.017879
1339,318416,St. Louis,USA,38.6357,-90.2446
1340,318332,Tarlac City,Philippines,15.475479,120.596349
1341,318058,Maebashi,Japan,36.383191,139.073177
1342,317886,Ratchaburi,Thailand,13.528289,99.813421
1343,317595,Bunia,Democratic Republic of the Congo,1.57,30.25
1344,317517,Central Coast,Australia,-33.300134,151.191101
1345,317363,Moshi,Tanzania,-3.36,37.31
1346,316973,Manisa,Turkey,38.619099,27.428921
1347,316619,Riverside,USA,33.9381,-117.3932
1348,316381,Corpus Christi,USA,27.7543,-97.1734
1349,316327,Victoria,Canada,48.428421,-123.365644
1350,315788,Sakon Nakhon,Thailand,17.1546,104.134837
1351,315649,Iaşi,Romania,47.156944,27.590278
1352,315596,Thrissur,India,10.527642,76.214435
1353,315474,Cardiff,United Kingdom,51.481581,-3.17909
1354,315310,Alwar,India,27.552991,76.634573
1355,315186,Cherepovets,Russia,59.132333,37.909181
1356,315147,Huambo,Angola,-12.78,15.76
1357,314900,Boa Vista,Brazil,2.805389,-60.691352
1358,314805,Córdoba,Spain,37.888175,-4.779383
1359,314590,Ostrava,Czech Republic,49.820923,18.262524
1360,314546,Ciudad de Corrientes,Argentina,-27.471226,-58.839584
1361,314239,Khayelitsa,South Africa,-34.040278,18.677778
1362,314162,Naha,Japan,26.212312,127.679157
1363,313679,Vologda,Russia,59.218066,39.897805
1364,313503,Semipalatinsk,Kazakhstan,50.423346,80.250811
1365,313110,Catania,Italy,37.507877,15.08303
1366,312942,Aktobe,Kazakhstan,50.283934,57.166978
1367,312255,Kakinada,India,16.989065,82.247465
1368,312113,Timișoara,Romania,45.759722,21.23
1369,311485,San Bernardo,Chile,-33.583333,-70.7
1370,311472,Kolwezi,Democratic Republic of the Congo,-10.7,25.53
1371,311299,Uvira,Democratic Republic of the Congo,-3.4,29.14
1372,311287,Bonn,Germany,50.7358511,7.1006599
1373,311000,Quy Nhơn,Vietnam,13.759915,109.218671
1374,310467,Nizamabad,India,18.672505,78.094087
1375,310104,Rahimyar Khan,Pakistan,28.421157,70.298874
1376,309762,Novi Sad,Serbia,45.267135,19.83355
1377,309709,Butuan,Philippines,8.947538,125.540623
1378,309319,St. Catharines–Niagara,Canada,43.159375,-79.246863
1379,309259,Cascavel,Brazil,-24.949907,-53.445368
1380,308989,Guarujá,Brazil,-23.997269,-46.259492
1381,308922,Sagar,India,23.838805,78.737807
1382,308680,Gujrat,Pakistan,32.571144,74.075005
1383,308637,Zagazig,Egypt,30.584918,31.497226
1384,308458,Iksan,Republic of Korea,35.948286,126.957599
1385,308440,Kaesong,Democratic People's Republic of Korea,37.938194,126.587795
1386,308428,Lexington,USA,38.0402,-84.4584
1387,308318,Mardan,Pakistan,34.200114,72.050801
1388,307764,Sariwon,Democratic People's Republic of Korea,38.506389,125.759722
1389,307671,Kassala,Sudan,15.47,36.4
1390,306584,Yokkaichi,Japan,34.963085,136.629654
1391,306009,Cluj-Napoca,Romania,46.766667,23.583333
1392,305884,Aomori,Japan,40.828713,140.734682
1393,305841,Pittsburgh,USA,40.4398,-79.9766
1394,305821,Tumkur,India,13.34,77.1
1395,305632,Santa Elena,Ecuador,-2.19348,-80.543845
1396,305607,Batangas City,Philippines,13.756465,121.058308
1397,305421,Novorossiysk,Russia,44.716667,37.75
1398,305155,Ciudad Victoria,Mexico,25.843954,-97.526893
1399,305147,Kurume,Japan,33.320409,130.501888
1400,304600,Kunduz,Afghanistan,36.728591,68.868066
1401,303754,Murmansk,Russia,68.958524,33.08266
1402,303475,Coventry,United Kingdom,52.406822,-1.519693
1403,303428,Kota Kinabalu,Malaysia,5.980408,116.073457
1404,303346,Nampula,Mozambique,-15.116667,39.266667
1405,302040,Constanţa,Romania,44.173333,28.638333
1406,301624,Imus,Philippines,14.406422,120.940506
1407,301416,Kingston upon Hull,United Kingdom,53.745671,-0.336741
1408,301249,Hisar,India,29.149188,75.721653
1409,300950,Anchorage,USA,61.2176,-149.8953
1410,300943,Camagüey,Cuba,21.392604,-77.905318
1411,300713,Kasugai,Japan,35.24326,136.98522
1412,300707,Palmira,Colombia,3.47539,-76.505055
1413,300471,Wad Madany,Sudan,14.42,33.47
1414,299746,Morioka,Japan,39.701683,141.136369
1415,299708,Münster,Germany,51.9501317,7.61330165026
1416,299431,Sylhet,Bangladesh,24.6020835,91.6929008814
1417,299423,Taubaté,Brazil,-23.023532,-45.552725
1418,299108,Cabimas,Venezuela,10.389586,-71.469284
1419,299103,Karlsruhe,Germany,49.0140679,8.4044366
1420,298926,Yakutsk,Russia,62.033333,129.733333
1421,298866,Ust-Kamenogorsk,Kazakhstan,49.974929,82.601724
1422,298681,Sukabumi,Indonesia,-6.9196,106.9272
1423,298643,Craiova,Romania,44.333333,23.816667
1424,298625,Ciudad Obregón,Mexico,29.297225,-110.330881
1425,298224,Cirebon,Indonesia,-6.737246,108.550656
1426,298118,Stockton,USA,37.9763,-121.3133
1427,298017,Petrópolis,Brazil,-22.488026,-43.177567
1428,297943,Halifax,Canada,44.648863,-63.57532
1429,297517,Cincinnati,USA,39.1399,-84.5064
1430,286073,Shimonoseki,Japan,33.950406,130.923083
1431,297317,Sunchon,Democratic People's Republic of Korea,39.416667,125.933333
1432,297284,Tampico,Mexico,22.305992,-97.860086
1433,297084,Kasur,Pakistan,31.10503,74.430862
1434,296690,Mannheim,Germany,49.4895914,8.4672361
1435,296417,Sari,Iran,36.580333,53.060478
1436,295883,Tongi,Bangladesh,23.897429,90.4078742
1437,294875,İzmit,Turkey,40.765597,29.94072
1438,294873,Saint Paul,USA,44.9489,-93.1039
1439,294577,Rohtak,India,28.8909,76.5796
1440,294310,San Pedro,Philippines,14.175853,121.539855
1441,294150,Panipat,India,29.390946,76.963502
1442,294128,Limeira,Brazil,-22.562118,-47.400273
1443,294116,Darbhanga,India,26.111868,85.896004
1444,293725,Vigo,Spain,42.240599,-8.720727
1445,293717,Bradford,United Kingdom,53.795984,-1.759398
1446,293695,Praia Grande,Brazil,-24.047225,-46.526361
1447,293605,Armenia,Colombia,4.51403,-75.75058
1448,293000,Ife,Nigeria,"7,485","4,544"
1449,292934,São José dos Pinhais,Brazil,-25.441411,-49.161319
1450,292627,Yeosu,Republic of Korea,34.760374,127.662222
1451,292521,Kanchanaburi,Thailand,14.02278,99.532811
1452,292162,Akashi,Japan,34.649053,134.992401
1453,291917,Białystok,Poland,53.132489,23.16884
1454,291872,Palu,Indonesia,-0.9,119.833333
1455,291822,Aizawl,India,23.727107,92.717639
1456,291225,Luque,Paraguay,-25.27,-57.487222
1457,290937,Oshawa,Canada,43.897093,-78.865791
1458,290868,Gebze,Turkey,40.807751,29.43734
1459,290817,Malard,Iran,35.664902,50.98259
1460,290733,Galaţi,Romania,45.423333,28.0425
1461,290521,Santarém,Brazil,-2.569879,-54.64105
1462,290269,Chernigov,Ukraine,51.4982,31.28935
1463,290269,SAN SALVADOR,El Salvador,13.69294,-89.218191
1464,290139,Seremban,Malaysia,2.725889,101.937824
1465,289831,Poltava,Ukraine,49.588267,34.551417
1466,289504,Batna,Algeria,35.568518,6.187173
1467,289355,Fukushima,Japan,37.75442,140.458533
1468,289233,Hilla,Iraq,32.483333,44.433333
1469,289215,Tsu,Japan,34.733985,136.510232
1470,289148,Viña del Mar,Chile,-33.024527,-71.55234
1471,288730,Utrecht,Netherlands,52.090737,5.12142
1472,288353,Holguín,Cuba,20.783789,-75.806908
1473,288054,SAN JOSE,Costa Rica,9.928069,-84.090725
1474,288000,Makurdi,Nigeria,"7,729","8,557"
1475,287977,San Lorenzo,Paraguay,-25.34,-57.52
1476,287841,Hufuf,Saudi-Arabia,25.374166,49.587292
1477,287570,Ichalkaranji,India,16.709001,74.456081
1478,287311,Gunpo,Republic of Korea,37.353732,126.948517
1479,287035,Tirupati,India,13.628756,79.419179
1480,286974,Karnal,India,29.685693,76.990482
1481,286497,Sunshine Coast,Australia,-26.655976,153.091837
1482,285912,San Fernando,Philippines,15.059394,120.656705
1483,285813,Bathinda,India,30.210994,74.945475
1484,285067,al-Mubarraz,Saudi-Arabia,25.409808,49.582293
1485,284970,Nantes,France,47.218371,-1.553621
1486,284670,Santa Rosa,Philippines,14.284302,121.088893
1487,284506,Tamale,Ghana,"9,417","-0,833"
1488,284487,Eldoret,Kenya,0.51,35.28
1489,284386,Pyongsong,Democratic People's Republic of Korea,39.25,125.85
1490,284288,Mossoró,Brazil,-5.204348,-37.316157
1491,284244,Tacna,Peru,-18.006568,-70.246274
1492,284079,Delmas,Haiti,18.543361,-72.305212
1493,284032,SUCRE,Bolivia,-19.019585,-65.261961
1494,283924,Cherkassy,Ukraine,49.40244,32.012282
